=== appendix 15 · gazette page 214 · pdf page 1 ===
Appendix-15: Use zones across different master plans
214

--- table 0 (48 rows × 7 cols) ---
 |  |  |  | Industries (Light/Med/Heavy) |  | 
[#D9E1F2] | [#D9E1F2] | [#CCCCFF] | [#CCCCFF] | Logistic Park | [#CCCCFF] | [#CCCCFF]
8 | Office Buildings | Offices | Offices; Jail | Offices; CPRI | Offices | Govt Semi-govt and other Offices
9 | Public & Semi-public | Public and Semi-Public Facility & | Community Facilities / Utilities | Public Facility | Public Facility | (F1)-Community Facilities /Utilities and Services
[#D9E1F2] | [#D9E1F2] | Utilities | Fire Station, Police station, Post office, | Public Utility | Public Utility | (F2)-electrical substation
 |  | [#FFF2CC] | Water works, Sewage Farm | [#FFF2CC] | [#FFF2CC] | (F3)- Sewage Farm/Solid Waste Disposal Centre
 |  |  | [#FFF2CC] |  |  | (F4)-Proposed Sewage Treatment Plant
 |  |  |  |  |  | (F5)-Slaughter house; (F6)-STP; (F7)-SWM
10 | Transport 1&2, Parking | Bus Terminal/Truck Terminal | Transport 1 - Bus terminal/Truck | Bus terminal | Bus Terminal | (T-1) - Bus terminal
[#D9E1F2] | [#D9E1F2] | Railway Yard/Railway Line | terminal | Air Strip/ Airport | Truck Terminal | (T-2)-Truck terminal
 |  | [#D6DCE4] | Marg | Transport Nagar | Railway Area | (T-3)-Railway Notified Area
 |  |  | [#D6DCE4] | Cargo Centre | [#D6DCE4] | (T-4)-Existing Road; (T-5)-Proposed Road
 |  |  |  | RRTS Depot |  | (T-6)-Railway Line
 |  |  |  | [#D6DCE4] |  | (T-9)-Proposed fly over
11 | Forest | NIL | NIL | Forest | NIL | Garden; Forest
12 | Recreational 1&2 | Park & Open Spaces | Park/open spaces and playground | Park and Open Area/ Stadium | Regional Park | (P-1)-District Park
[#D9E1F2] | [#D9E1F2] | [#A9D08E] | [#A9D08E] | Regional Park | Park and Open Area | (P-2)-Zonal Park; (P-3)-Park
 |  |  |  | Amusement Park | [#A9D08E] | (P-4)-Riverfront Development
 |  |  |  | [#A9D08E] |  | (P-6)-non-conforming developed green area.
13 | Green belt | Green Belt | Green Belt | Green Belt | Green Belt | Green Belt
14 | Rural Abadi | Rural Abadi; Future expansion | Rural Abadi | Rural Abadi | Rural Abadi; Future expansion | Rural Abadi
15 | Agriculture | Agriculture | Agriculture | Agriculture | Agriculture | Agriculture
16 | Highway Facilities | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone
17 | Additional Land use |  |  |  |  | 
[#D9E1F2] | [#D9E1F2] |  |  |  |  | 

=== appendix 15 · gazette page 216 · pdf page 3 ===
Appendix-15 (part-3)
216

--- table 0 (48 rows × 7 cols) ---
 | Sl. No. | 11 | 12 | 13 | 14 | 15
 |  |  |  |  |  | 
# | Development Authority/ | Mathura-Vrindavan | Aligarh | Jhansi | Rampur | Firozabad-Shikohabad
[#D9E1F2] | Use Zone | [#002060] | [#002060] | [#002060] | [#002060] | [#002060]
1 | Built up | Built-up | Built-up | Built-up | Built-up | Built-up
[#D9E1F2] | [#D9E1F2] | [#FFF2CC] | [#FFF2CC] | [#FFF2CC] | [#FFF2CC] | [#FFF2CC]
2 | Residential | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW]
[#D9E1F2] | [#D9E1F2] | [YELLOW] | [YELLOW] | [YELLOW] | [YELLOW] | [YELLOW]
3 | Mixed Use 1&2 | NIL | NIL | NIL | NIL | NIL
[#D9E1F2] | [#D9E1F2] |  |  |  |  | 
4 | Commercial 1-Retail /CBD | City Centre | Commercial | Bazar Street | (C-1) - City Centre | Bazaar Street
[#D9E1F2] | /Sub-CBD /Bazaar Street | Sub- City Centre | Bazaar Street | Commercial, Retail shops | (C-2) - Sub-City Centre | City Centre
 | [#D9E1F2] | Bazaar Street | [#BDD7EE] | Sector/Neighbour Hood | (C-3) - Zonal Commercial | Sub city Centre
 |  | [#BDD7EE] |  | [#BDD7EE] | (C-5) - Bazaar Street | [#BDD7EE]
5 | Commercial 2-Wholesale/ | Wholesale | District Business | Wholesale/ Storage | (C-4) - Wholesale/ Storage | Wholesale Business
[#D9E1F2] | Godown | [#5B9BD5] | Wholesale Business Centre | [#5B9BD5] | [#5B9BD5] | [#5B9BD5]
6 | Small Industries | Small Industries | Small Industries | Small Industries | Small Industries | Small & Service Industries
[#D9E1F2] | [#D9E1F2] | IT industries | [#CCCCFF] | [#CCCCFF] | [#CCCCFF] | [#CCCCFF]
7 | Large Industries | Large Industries | Large Industries | Large / Medium Industries | Large Industries | Large Industries
[#D9E1F2] | [#D9E1F2] | [#CCCCFF] | Defence Industrial Corridor | Logistic Park, Technology park; Crusher Zone | [#CCCCFF] | [#CCCCFF]
8 | Office Buildings | Offices, Police Lines | Offices | Offices | Govt Semi-govt and other Offices | Offices
9 | Public & Semi-public | Public Semi-Public | Community Facilities | Public Semi-Public Facilities | (F1) - Community Facilities /Utilities, Public | Inter College; Degree College
[#D9E1F2] | [#D9E1F2] | Facilities | Inter college; Graduate / Post Graduate | Dumping Ground | Services and Utilities | Technical Institutes
 |  | Amusement park | College; Pravidhik sansthan | Sewage Farm/ STP | (F2) - Electrical Sub-station | Hospital
 |  | Knowledge park | Aligarh Muslim university | Regional/ Historical Place | (F3) - Sewerage Treatment Plant | Police/Fire Station
 |  | Medical & Health Care | Utilities & Services | Shamshan / Kabristan | (F4) - Solid Waste Disposal Centre | Post Office/ Telecom Centre
 |  | Tourist Facilitation Centre | Police Station/ Thana | Flood Area | (F5) -Sewage Farm | Electric Station
 |  | [#FFF2CC] | Fire Station, Phone Booth | [#FFF2CC] | [#FFF2CC] | Water Works
 |  |  | Post Office, Sewage Farm/Treatment Plant |  |  | Sewage Treatment Plant
 |  |  | Healthcare |  |  | Religious Place
 |  |  | District Hospital; Other Main Hospitals |  |  | Knowledge Park
10 | Transport 1&2, Parking | Transport Nagar | Transport 1 - (Bus terminal) | T1 - (Bus terminal | (T-1) - Bus Terminal and Workshop | Truck Terminal
[#D9E1F2] | [#D9E1F2] | Parking & Camping Area | Transport 2 - (Truck terminal) | T2 - (Transport Nagar / Truck terminal) | (T-2) - Truck Terminal / Transport Nagar | Bus Terminal
 |  | Bus Terminal | Parking Areas, Air Strip | [#D6DCE4] | (T-3) - Existing Road, (T-4) - Proposed Road | Railway Line/ Railway Compound
 |  | [#D6DCE4] | Existing roads, Proposed roads |  | (T-5) - Railway Line | Over Head Bridge
 |  |  | Railway lines/ Railway campus |  | (T-6) - Proposed Flyover | [#D6DCE4]
 |  |  | Dedicated Freight Corridor |  | (T-7) - Railway Notified Area | 
11 | Forest | Forest | Garden | Forest | NIL | Forest
12 | Recreational 1&2 | Park/ Sector Park | Park and Open spaces | Recreational 1 - Theme Park | (P1) - Park | NIL
[#D9E1F2] | [#D9E1F2] | District Park | Regional Park, River Buffer | Recreational 2 - Regional Park/ Prakhandiy | (P2) - Zonal Park | [#A9D08E]
 |  | Zonal Park | Exhibition ground | Park/Nagar Park and Playground | (P4) - River Front Development | 
 |  | Sanrakshit sthal | Shekha Lake Eco Sensitive Zone | Water bodies/Pond, Pahad | (P5) - Non-Conforming Developed Green | 
 |  | [#A9D08E] | Lake Zone | [#A9D08E] | [#A9D08E] | 
13 | Green belt | Green Belt | Green Belt | Green Belt | Green Belt | Green Belt
14 | Rural Abadi | Rural Abadi | Rural Abadi | Rural Abadi, Future expansion | Rural Abadi | Rural Abadi
15 | Agriculture | Agriculture | Agriculture | Agriculture | Agriculture | Agriculture
16 | Highway Facilities | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone | NIL
17 | Additional Land use |  |  |  |  | 

=== appendix 15 · gazette page 217 · pdf page 4 ===
Appendix-15 (part-4)
217

--- table 0 (31 rows × 6 cols) ---
 | Sl. No. | 16 | 17 | 18 | 19
# | Development Authority/ | Varanasi-1 | Varanasi-2 | Agra | Hapur
